text,source,topic
"Thus, we must deﬁne an implementation to map two-dimensional user-deﬁned addresses into one-dimensional physical",textbook_chunk_293,general
The page size (like the frame size) is deﬁned by the hardware.,textbook_chunk_294,general
"The size of a page is a power of 2, varying between 512 bytes and 1 GBper page, depending on the computer architecture.",textbook_chunk_295,general
The selection of a power of 2 as a page size makes the translation of a logical address into a page number and page offset particularly easy.,textbook_chunk_296,general
"If the size of the logical address space is 2m,a n dap a g es i z ei s 2nbytes, then the high-order mnbits of a logical address designate the page number, and the nlow-order bits designate the page offset.",textbook_chunk_297,general
"Thus, the logical address is as follows:pdpage number page offset m  n n where pis an index into the page table and dis the displacement within the page.",textbook_chunk_298,general
"As a concrete (although minuscule) example, consider the memory in Figure 8.12.",textbook_chunk_299,general
"Here, in the logical address, n2a n d m4 .U s",textbook_chunk_300,general
"i n gap a g es i z e of 4 bytes and a physical memory of 32 bytes (8 pages), we show how the programmers view of memory can be mapped into physical memory.",textbook_chunk_301,general
"Logical address 0 is page 0, offset 0.",textbook_chunk_302,general
"Indexing into the page table, we ﬁnd that page 0 logical memory physical memorypage tablei j k l m n o p a b c d e f g ha b c d e f",textbook_chunk_303,general
k l m n o p0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 1500 4 8 12 16 20 24 281 2 35 6 1 2 Figure 8.12 Paging example for a 32-byte memory with 4-byte pages.,textbook_chunk_304,general
"PU Scheduling 2.When a process switches from the running state to the ready state (for example, when an interrupt occurs)",textbook_chunk_305,general
"3.When a process switches from the waiting state to the ready state (for example, at completion of IO)",textbook_chunk_306,general
"4.When a process terminates For situations 1 and 4, there is no choice in terms of scheduling.",textbook_chunk_307,general
A new process (if one exists in the ready queue) must be selected for execution.,textbook_chunk_308,general
"There is a choice, however, for situations 2 and 3.",textbook_chunk_309,general
"When scheduling takes place only under circumstances 1 and 4, we say that the scheduling scheme is nonpreemptive orcooperative .O",textbook_chunk_310,general
"t h e r w i s e , it is preemptive .",textbook_chunk_311,general
"Under nonpreemptive scheduling, once the CPU has been allocated to a process, the process keeps the CPU until it releases the CPU either by terminating or by switching to the waiting state.",textbook_chunk_312,general
This scheduling method was used by Microsoft Windows 3.x.,textbook_chunk_313,general
"Windows 95 introduced preemptive scheduling, and all subsequent versions of Windows operating systems have used preemptive scheduling.",textbook_chunk_314,general
The Mac OS X operating system for the Macintosh also uses preemptive scheduling; previous versions of the Macintosh operating system relied on cooperative scheduling.,textbook_chunk_315,general
"Cooperative scheduling is the only method that can be used on certain hardware platforms, because it does not require the special hardware (for example, a timer) needed for preemptive scheduling.",textbook_chunk_316,general
"Unfortunately, preemptive scheduling can result in race conditions when data are shared among several processes.",textbook_chunk_317,general
Consider the case of two processes that share data.,textbook_chunk_318,general
"While one process is updating the data, it is preempted so that the second process can run.",textbook_chunk_319,general
"The second process then tries to read the data, which are in an inconsistent state.",textbook_chunk_320,general
This issue was explored in detail in Chapter 5.,textbook_chunk_321,general
Preemption also affects the design of the operating-system kernel.,textbook_chunk_322,general
"During the processing of a system call, the kernel may be busy with an activity on behalf of a process.",textbook_chunk_323,general
"Such activities may involve changing important kernel data (for instance, IOqueues).",textbook_chunk_324,general
What happens if the process is preempted in the middle of these changes and the kernel (or the device driver) needs to read or modify the same structure?,textbook_chunk_325,general
"Certain operating systems, including most versions of UNIX ,d e",textbook_chunk_326,general
h e rf o ras y s t e mc a l l to complete or for an IOblock to take place before doing a context switch.,textbook_chunk_327,general
"This scheme ensures that the kernel structure is simple, since the kernel will not preempt a process while the kernel data structures are in an inconsistent state.",textbook_chunk_328,general
"Unfortunately, this kernel-execution model is a poor one for supporting real-time computing where tasks must complete execution within a given time frame.",textbook_chunk_329,general
"In Section 6.6, we explore scheduling demands of real-time systems.",textbook_chunk_330,general
"Because interrupts can, by de ﬁnition, occur at any time, and because they cannot always be ignored by the k ernel, the sections of code affected by interrupts must be guarded from simultaneous use.",textbook_chunk_331,general
The operating system needs to accept interrupts at almost all times.,textbook_chunk_332,general
"Otherwise, input might be lost or output overwritten.",textbook_chunk_333,general
"So that these sections of code are not accessed concurrently by several processes, they disable interru pts at entry and reenable interrupts at exit.",textbook_chunk_334,general
It is important to note that sections of code that disable interrupts do not occur very often and typically contain few instructions.,textbook_chunk_335,general
cept 109process P0 process P1 save state into PCB0 save state into PCB1reload state from PCB1 reload state from PCB0operating system idle idleexecuting idleexecuting executinginterrupt or system call interrupt or system call      Figure 3.4 Diagram showing CPU switch from process to process.,textbook_chunk_336,multithreading
Accounting information .T,textbook_chunk_337,multithreading
i o ni n c l u d e st h,textbook_chunk_338,multithreading
"ea m o u n to f CPU and real time used, time limits, account numbers, job or process numbers, and so on.",textbook_chunk_339,multithreading
IOstatus information .T,textbook_chunk_340,multithreading
"i s to f IOdevices allocated to the process, a list of open ﬁles, and so on.",textbook_chunk_341,multithreading
"In brief, the PCB simply serves as the repository for any information that may vary from process to process.",textbook_chunk_342,multithreading
The process model discussed so far has implied that a process is a program that performs a single thread of execution.,textbook_chunk_343,multithreading
"For example, when a process is running aw o r d - p r o c e s s o rp r o g r a m ,as i n g l et h r e a do fi n s t r u c t i o n si sb e i n ge x e c u t e d .",textbook_chunk_344,multithreading
This single thread of control allows the process to perform only one task at at i m e .T,textbook_chunk_345,multithreading
h eu s e rc a n n o ts i m u l t a n e o u s l yt y p ei nc h a r a c t e r sa n dr,textbook_chunk_346,multithreading
"u nt h es p e l l checker within the same process, for example.",textbook_chunk_347,multithreading
Most modern operating systems have extended the process concept to allow a process to have multiple threads of execution and thus to perform more than one task at a time.,textbook_chunk_348,multithreading
"This feature is especially beneﬁcial on multicore systems, where multiple threads can run in parallel.",textbook_chunk_349,multithreading
"On a system that supports threads, the PCB is expanded to include information for each thread.",textbook_chunk_350,multithreading
Other changes throughout the system are also needed to support threads.,textbook_chunk_351,multithreading
Chapter 4 explores threads in detail.,textbook_chunk_352,multithreading
Criteria 265 6.1.4 Dispatcher Another component involved in the CPU-scheduling function is the dispatcher .,textbook_chunk_353,process_management
The dispatcher is the module that gives control of the CPU to the process selected by the short-term scheduler.,textbook_chunk_354,process_management
"This f unction involves the following: Switching context Switching to user mode Jumping to the proper location in the user program to restart that program The dispatcher should be as fast as possible, since it is invoked during every process switch.",textbook_chunk_355,process_management
The time it takes for the dispatcher to stop one process and start another running is known as the dispatch latency .,textbook_chunk_356,process_management
"6.2 Scheduling Criteria Different CPU-scheduling algorithms have different properties, and the choice of a particular algorithm may favor one class of processes over another.",textbook_chunk_357,process_management
"In choosing which algorithm to use in a particular situation, we must consider the properties of the various algorithms.",textbook_chunk_358,process_management
Many criteria have been suggested for comparing CPU-scheduling algo- rithms.,textbook_chunk_359,process_management
Which characteristics are used for comparison can make a substantial difference in which algorithm is judged to be best.,textbook_chunk_360,process_management
The criteria include the following: CPU utilization .W,textbook_chunk_361,process_management
ew a n tt ok e e pt h e CPU as busy as possible.,textbook_chunk_362,process_management
"Concep- tually, CPU utilization can range from 0 to 100 percent.",textbook_chunk_363,process_management
"In a real system, it should range from 40 percent (for a lightly loaded system) to 90 percent (for a heavily loaded system).",textbook_chunk_364,process_management
"ft h e CPU is busy executing processes, then work is being done.",textbook_chunk_365,process_management
"One measure of work is the number of processes that are completed per time unit, called throughput .F",textbook_chunk_366,process_management
"o rl o n gp r o c e s s e s ,",textbook_chunk_367,process_management
"t h i sr a t em a yb eo n e process per hour; for short transactions, it may be ten processes per second.",textbook_chunk_368,process_management
"From the point of view of a particular process, the important criterion is how long it takes to exec ute that process.",textbook_chunk_369,process_management
The interval from the time of submission of a process to the time of completion is the turnaround time.,textbook_chunk_370,process_management
"Turnaround time is the sum of the periods spent waiting to get into memory, waiting in the ready queue, executing on the CPU,a n d doing IO.",textbook_chunk_371,process_management
Waiting time .T h e CPU-scheduling algorithm does not affect the amount of time during which a process executes or does IO.,textbook_chunk_372,process_management
It affects only the amount of time that a process spends waiting in the ready queue.,textbook_chunk_373,process_management
Waiting time is the sum of the periods spent waiting in the ready queue.,textbook_chunk_374,process_management
"In an interactive system, turnaround time may not be the best criterion.",textbook_chunk_375,process_management
"Often, a process can produce some output fairly early and can continue computing new results while previous results are being",textbook_chunk_376,process_management
"troduction Multiprogrammed systems provide an environment in which the various system resources (for example, CPU,m e m o r y ,a n dp e r i p h e r a ld e v i c e s )a r e utilized effectively, but they do not provide for user interaction with the computer system.",textbook_chunk_377,general
Time sharing (ormultitasking )i sal o g,textbook_chunk_378,general
i o no f multiprogramming.,textbook_chunk_379,general
"In time-sharing systems, the CPU executes multiple jobs by switching among them, but the switches occur so frequently that the users can interact with each program while it is running.",textbook_chunk_380,general
"Time sharing requires an interactive computer system, which provides direct communication between the user and the system.",textbook_chunk_381,general
"The user gives instructions to the operating system or to a program directly, using a input device such as a keyboard, mouse, touch pad, or touch screen, and waits for immediate results on an output device.",textbook_chunk_382,general
"Accordingly, the response time should be shorttypically less than one second.",textbook_chunk_383,general
At i m e - s h a r e do p e r a t,textbook_chunk_384,general
t e ma l l o w sm a n yu s e r st os h,textbook_chunk_385,general
a r et h ec o m p u t e r simultaneously.,textbook_chunk_386,general
"Since each action or command in a time-shared system tends to be short, only a little CPU time is needed for each user.",textbook_chunk_387,general
"As the system switches rapidly from one user to the next, each user is given the impression that the entire computer system is dedicated to his use, even though it is being shared among many users.",textbook_chunk_388,general
At i m e - s h a r e do p e r a t,textbook_chunk_389,general
i n gs y s t e mu s e s CPU scheduling and multiprogram- ming to provide each user with a small portion of a time-shared computer.,textbook_chunk_390,general
Each user has at least one separate program in memory.,textbook_chunk_391,general
A program loaded into memory and executing is called a process .W,textbook_chunk_392,general
"h e nap r o c e s se x e c u t e s ,i tt y p",textbook_chunk_393,general
i c a l l y executes for only a short time before i,textbook_chunk_394,general
so rn e e d st op e r f o r m IO.,textbook_chunk_395,general
"IOmay be interactive; that is, output goes to a display for the user, and input comes from a user keyboard, mouse, or other device.",textbook_chunk_396,general
"Since interactive IO typically runs at people speeds, it may take a long time to complete.",textbook_chunk_397,general
"Input, for example, may be bounded by the users typing speed; seven characters per second is fast for people but incredibly slow for computers.",textbook_chunk_398,general
"Rather than let the CPU sit idle as this interactive input takes place, the operating system will rapidly switch the CPU to the program of some other user.",textbook_chunk_399,general
Time sharing and multiprogramming require that several jobs be kept simultaneously in memory.,textbook_chunk_400,general
"If several jobs are ready to be brought into memory, and if there is not enough room for all of them, then the system must choose among them.",textbook_chunk_401,general
"Making this decision involves job scheduling ,w h i c hw ed",textbook_chunk_402,general
i s c u s s in Chapter 6.,textbook_chunk_403,general
"When the operating system selects a job from the job pool, it loads that job into memory for execution.",textbook_chunk_404,general
"Having several programs in memory at the same time requires some form of memory management, which we cover in Chapters 8 and 9.",textbook_chunk_405,general
"In addition, if several jobs are ready to run at the same time, the system must choose which job will run ﬁrst.",textbook_chunk_406,general
"Making this decision is CPU scheduling ,w h",textbook_chunk_407,general
od i s c u s s e di nC h a p t e r6,textbook_chunk_408,general
"i n a l l y ,r u n n i n gm u l t i p l e jobs concurrently requires that their ability to affect one another be limited in all phases of the operating system, including process scheduling, disk storage, and memory management.",textbook_chunk_409,general
We discuss these considerations throughout the text.,textbook_chunk_410,general
"In a time-sharing system, the operating system must ensure reasonable response time.",textbook_chunk_411,general
"This goal is sometimes accomplished through swapping , whereby processes are swapped in and out of main memory to the disk.",textbook_chunk_412,general
"A more common method for ensuring reasonable response time is virtual memory ,a technique that allows the execution of a process that is not completely in",textbook_chunk_413,general
"jects 345 Programming Projects Bankers Algorithm For this project, you will write a multithreaded program that implements the bankers algorithm discussed in Section 7.5.3.",textbook_chunk_414,general
Several customers request and release resources from the bank.,textbook_chunk_415,general
The banker will grant a request only if it leaves the system in a safe state.,textbook_chunk_416,general
A request that leaves the system in an unsafe state will be denied.,textbook_chunk_417,general
"This programming assignment combines three separate topics: (1) multithreading, (2) preventing race con ditions, and (3) deadlock avoidance.",textbook_chunk_418,general
The Banker The banker will consider requests from ncustomers for mresources types.,textbook_chunk_419,general
as outlined in Section 7.5.3.,textbook_chunk_420,general
The banker will keep track of the resources using the following data structures:  these may be any values  0  define NUMBER OF CUSTOMERS 5 define NUMBER OF RESOURCES 3  the available amount of each resource  int availableNUMBER OF RESOURCES; the maximum demand of each customer  int maximumNUMBER OF CUSTOMERSNUMBER OF RESOURCES;  the amount currently allocated to each customer  int allocationNUMBER OF CUSTOMERSNUMBER OF RESOURCES;  the remaining need of each customer  int needNUMBER OF CUSTOMERSNUMBER OF RESOURCES; The Customers Create ncustomer threads that request and release resources from the bank.,textbook_chunk_421,general
"The customers will continually loop, requesting and then releasing random numbers of resources.",textbook_chunk_422,general
The customers requests for resources will be bounded by their respective values in the need array.,textbook_chunk_423,general
The banker will grant a request if it satisﬁes the safety algorithm outlined in Section 7.5.3.1.,textbook_chunk_424,general
"If a request does not leave the system in a safe state, the banker will deny it.",textbook_chunk_425,general
"Function prototypes for requesting and releasing resources are as follows: int request resources(int customer num, int request); int release resources(int customer num, int release); These two functions should return 0 if successful (the request has been granted) and 1 if unsuccessful.",textbook_chunk_426,general
Multiple threads (customers),textbook_chunk_427,general
"ain Memory OBTAINING THE PAGE SIZE ON LINUX SYSTEMS On a Linux system, the page size varies according to architecture, and there are several ways of obtaining the page size.",textbook_chunk_428,memory_management
One approach is to use thegetpagesize() system call.,textbook_chunk_429,memory_management
Another strategy is to enter the following command on the command line: getconf PAGESIZE Each of these techniques returns the page size as a number of bytes.,textbook_chunk_430,memory_management
"Thus, logical address 0 maps to physical address 20  (5 4)  0.",textbook_chunk_431,memory_management
"Logical address 3 (page 0, offset 3) maps to physical address 23  (5 4)  3.",textbook_chunk_432,memory_management
"Logical address 4 is page 1, offset 0; according to the page table, page 1 is mapped to frame 6.",textbook_chunk_433,memory_management
"Thus, logical address 4 maps to physical address 24  (6 4)  0.",textbook_chunk_434,memory_management
Logical address 13 maps to physical address 9.,textbook_chunk_435,memory_management
You may have noticed that paging itself is a form of dynamic relocation.,textbook_chunk_436,memory_management
Every logical address is bound by the paging hardware to some physical address.,textbook_chunk_437,memory_management
"Using paging is similar to using a table of base (or relocation) registers, one for each frame of memory.",textbook_chunk_438,memory_management
"When we use a paging scheme, we hav en oe x t e r n a lf r a g m e n t a t",textbook_chunk_439,memory_management
i o n :a n yf r e e frame can be allocated to a process that needs it.,textbook_chunk_440,memory_management
"However, we may have some internal fragmentation.",textbook_chunk_441,memory_management
Notice that frames are allocated as units.,textbook_chunk_442,memory_management
"If the memory requirements of a process do not happen to coincide with page boundaries, the last frame allocated may not be completely full.",textbook_chunk_443,memory_management
"For example, if page size is 2,048 bytes, a process of 72,766 bytes will need 35 pages plus 1,086 bytes.",textbook_chunk_444,memory_management
"It will be allocated 36 frames, resulting in internal fragmentation of 2,048 1,086 9 6 2b y t e s .I",textbook_chunk_445,memory_management
"nt h ew o r s tc a s e ,ap r o c e s sw o u l dn e e d npages plus 1 byte.",textbook_chunk_446,memory_management
It would be allocated n1f,textbook_chunk_447,memory_management
"r a m e s ,r e s u l t",textbook_chunk_448,memory_management
i n gi ni n t e r n a lf r a g m e n t a t,textbook_chunk_449,memory_management
i o no fa l m o s t an entire frame.,textbook_chunk_450,memory_management
"If process size is independent of page size, we expect internal fragmentation to average one-half page per process.",textbook_chunk_451,memory_management
This consideration suggests that small page sizes are desirable.,textbook_chunk_452,memory_management
"However, overhead is involved in each page-table entry, and this overhead is reduc ed as the size of the pages increases.",textbook_chunk_453,memory_management
"Also, disk IOis more efﬁcient when the amount data being transferred is larger (Chapter 10).",textbook_chunk_454,memory_management
"Generally, page sizes have grown over time as processes, data sets, and main memory have become larger.",textbook_chunk_455,memory_management
"Today, pages typically are between 4KBand 8 KBin size, and some systems support even larger page sizes.",textbook_chunk_456,memory_management
Some CPUsa n dk e r n e l se v e ns u p p o r tm u l t,textbook_chunk_457,memory_management
i p l ep a g es i z e s .F,textbook_chunk_458,memory_management
"o ri n s t a n c e ,S o l a r i su s e s page sizes of 8 KBand 4 MB,",textbook_chunk_459,memory_management
i n go nt h ed a t as t o r e db yt,textbook_chunk_460,memory_management
Researchers are now developing support for variable on-the-ﬂy page size.,textbook_chunk_461,memory_management
"Frequently, on a 32-bit CPU, each page-table entry is 4 bytes long, but that size can vary as well.",textbook_chunk_462,memory_management
A 32-bit entry can point to one of 232physical page frames.,textbook_chunk_463,memory_management
"If frame size is 4 KB(212), then a system with 4-byte entries can address 244bytes (or 16 TB)o",textbook_chunk_464,memory_management
i c a lm e m o r y .W,textbook_chunk_465,memory_management
i c a l memory in a paged memory system is different from the maximum logical size of a process.,textbook_chunk_466,memory_management
"As we further explore paging, we introduce other information that must be kept in the page-table entries.",textbook_chunk_467,memory_management
That information reduces the number,textbook_chunk_468,memory_management
"File-System Interface access, the ﬁle is viewed as a numbered s equence of blocks or records.",textbook_chunk_469,general
"Thus, we may read block 14, then read block 53, and then write block 7.",textbook_chunk_470,general
There are no restrictions on the order of reading or writing for a direct-access ﬁle.,textbook_chunk_471,general
Direct-access ﬁles are of great use for immediate access to large amounts of information.,textbook_chunk_472,general
Databases are often of this type.,textbook_chunk_473,general
"When a query concerning a particular subject arrives, we compute which block contains the answer and then read that block directly to provide the desired information.",textbook_chunk_474,general
"As a simple example, on an airline-reservation system, we might store all the information about a particular ﬂight (for example, ﬂight 713) in the block identiﬁed by the ﬂight number.",textbook_chunk_475,general
"Thus, the number of available seats for ﬂight 713 is stored in block 713 of the reservation ﬁle.",textbook_chunk_476,general
"To store information about a larger set, such as people, we might compute a hash function on the peoples names or search a small in-memory index to determine a block to read and search.",textbook_chunk_477,general
"For the direct-access method, the ﬁle operations must be modiﬁed to include the block number as a parameter.",textbook_chunk_478,general
"Thus, we have read(n) ,w h e r e nis the block number, rather than read next() ,a n d write(n) rather than write next() .A",textbook_chunk_479,general
i v ea p p r o a c hi st or e t,textbook_chunk_480,general
"a i n read next() and write next() ,a sw i t hs e",textbook_chunk_481,general
"i a la c c e s s ,a n dt oa d",textbook_chunk_482,general
i o n posi- tion file(n) where nis the block number.,textbook_chunk_483,general
"Then, to effect a read(n) ,w e would position file(n) and then read next() .",textbook_chunk_484,general
The block number provided by the user to the operating system is normally arelative block number .Ar e l a t,textbook_chunk_485,general
c kn u m b e ri sa ni n d e xr e l a t,textbook_chunk_486,general
i v et ot h e beginning of the ﬁle.,textbook_chunk_487,general
"Thus, the ﬁrst relative block of the ﬁle is 0, the next is 1, and so on, even though the absolute disk address may be 14703 for the ﬁrst block and 3192 for the second.",textbook_chunk_488,general
"The use of relative block numbers allows the operating system to decide where the ﬁle should be placed (called the allocation problem ,a sw ed i s c u s si nC h a p t e r1 2 )a n dh e l p st op r e v e n tt",textbook_chunk_489,general
h eu s e r from accessing portions of the ﬁle system that may not be part of her ﬁle.,textbook_chunk_490,general
Some systems start their relative block numbers at 0; others start at 1.,textbook_chunk_491,general
"How, then, does the system satisfy a request for record Nin a ﬁle?",textbook_chunk_492,general
"Assuming we have a logical record length L,the request for record Nis turned into an IOrequest for Lbytes starting at location L(N)w",textbook_chunk_493,general
i nt h eﬁ l e( a s s u m i n gt h e ﬁrst record is N0 ),textbook_chunk_494,general
"i c a lr e c o r d sa r eo faﬁ x e ds i z e ,i ti sa l s oe a s yt o read, write, or delete a record.",textbook_chunk_495,general
Not all operating systems support both sequential and direct access for ﬁles.,textbook_chunk_496,general
Some systems allow only sequential ﬁle access; others allow only direct access.,textbook_chunk_497,general
Some systems require that a ﬁle be deﬁned as sequential or direct when it is created.,textbook_chunk_498,general
Such a ﬁle can be accessed only in a manner consistent with its declaration.,textbook_chunk_499,general
"We can easily simulate sequential access on a direct-access ﬁle by simply keeping a variable cpthat deﬁnes our current position, as shown in Figure 11.5.",textbook_chunk_500,general
"Simulating a direct-access ﬁle on a sequential-access ﬁle, however, is extremely inefﬁcient and clumsy.",textbook_chunk_501,general
11.2.3 Other Access Methods Other access methods can be built on top of a direct-access method.,textbook_chunk_502,general
These methods generally involve the construction of an index for the ﬁle.,textbook_chunk_503,general
"The index , like an index in the back of a book, contains pointers to the various blocks.",textbook_chunk_504,general
troduction temporary basis.,textbook_chunk_505,general
"When we need a particular piece of information, we ﬁrst check whether it is in the cache.",textbook_chunk_506,general
"If it is, we use the information directly from the cache.",textbook_chunk_507,general
"If it is not, we use the information from the source, putting a copy in the cache under the assumption that we will need it again soon.",textbook_chunk_508,general
"In addition, internal programmable registers, such as index registers, provide a high-speed cache for main memory.",textbook_chunk_509,general
The programmer (or compiler) implements the register-allocation and register-replacement algorithms to decide which information to keep in registers and which to keep in main memory.,textbook_chunk_510,general
Other caches are implemented totally in hardware.,textbook_chunk_511,general
"For instance, most systems have an instruction cache to hold the instructions expected to be executed next.",textbook_chunk_512,general
"Without this cache, the CPU would have to wait several cycles while an instruction was fetched from main memory.",textbook_chunk_513,general
"For similar reasons, most systems have one or more high-speed data caches in the memory hierarchy.",textbook_chunk_514,general
"We are not concerned with these hardware-only caches in this text, since they are outside the control of the operating system.",textbook_chunk_515,general
"Because caches have limited size, cache management is an important design problem.",textbook_chunk_516,general
Careful selection of the cache size and of a replacement policy can result in greatly increased performance.,textbook_chunk_517,general
Figure 1.11 compares storage performance in large workstations and small servers.,textbook_chunk_518,general
Various replacement algorithms for software-controlled caches are discussed in Chapter 9.,textbook_chunk_519,general
"Main memory can be viewed as a fast cache for secondary storage, since data in secondary storage must be copied into main memory for use and data must be in main memory before being moved to secondary storage for safekeeping.",textbook_chunk_520,general
"The ﬁle-system data, which resides permanently on secondary storage, may appear on several levels in the storage hierarchy.",textbook_chunk_521,general
"At the highest level, the operating system may maintain a cache of ﬁle-system data in main memory.",textbook_chunk_522,general
"In addition, solid-state disks may be used for high-speed storage that is accessed through the ﬁle-system interface.",textbook_chunk_523,general
The bulk of secondary storage is on magnetic disks.,textbook_chunk_524,general
"The magnetic-disk storage, in turn, is often backed up onto magnetic tapes or removable disks to protect against data loss in case of a hard-disk failure.",textbook_chunk_525,general
"Some systems automatically archive old ﬁle data from secondary storage to tertiary storage, such as tape jukeboxes, to lower the storage cost (see Chapter 10).",textbook_chunk_526,general
Level Name Typical size Implementation technology,textbook_chunk_527,general
"Access time (ns) Bandwidth (MBsec) Managed by Backed by1 registers  1 KB custom memory with multiple ports CMOS 0.25 - 0.5 20,000 - 100,000 compiler cache2 cache  16MB on-chip or off-chip CMOS SRAM 0.5 - 25 5,000 - 10,000 hardware main memory3 main memory  64GB CMOS SRAM 80 - 250 1,000 - 5,000 operating system disk4 solid state disk  1 TB flash memory 25,000 - 50,000 500 operating system disk5 magnetic disk  10 TB magnetic disk 5,000,000 20 - 150 operating system disk or tape Figure 1.11 Performance of various levels of storage.",textbook_chunk_528,general
"rocesses system has user programs ,o rtasks .E v e",textbook_chunk_529,process_management
no nas i n g l e - u s e rs y s,textbook_chunk_530,process_management
"t e m ,au s e rm a y be able to run several programs at one time: a word processor, a Web browser, and an e-mail package.",textbook_chunk_531,process_management
"And even if a user can execute only one program at a time, such as on an embedded device that does not support multitasking, the operating system may need to support its own internal programmed activities, such as memory management.",textbook_chunk_532,process_management
"In many respects, all these activities are similar, so we call all of them processes .",textbook_chunk_533,process_management
The terms joband process are used almost interchangeably in this text.,textbook_chunk_534,process_management
"Although we personally prefer the term process ,m u c ho fo p e r a t",textbook_chunk_535,process_management
i n g - s y s t e m theory and terminology was developed during a time when the major activity of operating systems was job processing.,textbook_chunk_536,process_management
It would be misleading to avoid the use of commonly accepted terms that include the word job(such as job scheduling,textbook_chunk_537,process_management
i m p l yb e c a u s e process has superseded job.,textbook_chunk_538,process_management
"The Process Informally, as mentioned earlier, a process is a program in execution.",textbook_chunk_539,process_management
"A process is more than the program code, which is sometimes known as the text section .",textbook_chunk_540,process_management
"It also includes the current activity, as represented by the value of the program counter and the contents of the processors registers.",textbook_chunk_541,process_management
"A process generally also includes the process stack ,w h",textbook_chunk_542,process_management
a i n st e m p o r a r yd a t a( s u c ha sf u n c t,textbook_chunk_543,process_management
"i o n parameters, return addresses, and local variables), and a data section ,w h",textbook_chunk_544,process_management
i c h contains global variables.,textbook_chunk_545,process_management
"A process may also include a heap ,w h",textbook_chunk_546,process_management
i c hi sm e m o r y that is dynamically allocated during process run time.,textbook_chunk_547,process_management
The structure of a process in memory is shown in Figure 3.1.,textbook_chunk_548,process_management
We emphasize that a program by itself is not a process.,textbook_chunk_549,process_management
"A program is a passive entity, such as a ﬁle containing a list of instructions stored on disk (often called an executable ﬁle ).",textbook_chunk_550,process_management
"In contrast, a process is an active entity, with a program counter specifying the next instruction to execute and a set of associated resources.",textbook_chunk_551,process_management
A program becomes a process when an executable ﬁle is loaded into memory.,textbook_chunk_552,process_management
Two common tec hniques for loading executable ﬁles text 0max dataheapstack Figure 3.1 Process in memory.,textbook_chunk_553,process_management
27 We can limit the effects of thrashing by using a local replacement algorithm (orpriority replacement algorithm ).,textbook_chunk_554,general
"With local replacement, if one process starts thrashing, it cannot steal frames from another process and cause the latter to thrash as well.",textbook_chunk_555,general
"However, the problem is not entirely solved.",textbook_chunk_556,general
"If processes are thrashing, they will be in the queue for the paging device most of the time.",textbook_chunk_557,general
The average service time for a page fault will increase because of the longer average queue for the paging device.,textbook_chunk_558,general
"Thus, the effective access time will increase even for a process that is not thrashing.",textbook_chunk_559,general
"To prevent thrashing, we must provide a process with as many frames as it needs.",textbook_chunk_560,general
But how do we know how many frames it needs ?,textbook_chunk_561,general
T h e r ea r es e v e r a l techniques.,textbook_chunk_562,general
The working-set strategy (Section 9.6.2) starts by looking at how many frames a process is actually using.,textbook_chunk_563,general
This approach deﬁnes the locality model of process execution.,textbook_chunk_564,general
"The locality model states that, as a process executes, it moves from locality to locality.",textbook_chunk_565,general
A locality is a set of pages that are actively used together (Figure 9.19).,textbook_chunk_566,general
"A program is generally composed of several different localities, which may overlap.",textbook_chunk_567,general
"For example, when a function is called, it deﬁnes a new locality.",textbook_chunk_568,general
"In this locality, memory references are made to the instructions of the function call, its local variables, and a subset of the global variables.",textbook_chunk_569,general
"When we exit the function, the process leaves this locality, since the local variables and instructions of the function are no longer in active use.",textbook_chunk_570,general
We may return to this locality later.,textbook_chunk_571,general
"Thus, we see that localities are deﬁned by the program structure and its data structures.",textbook_chunk_572,general
The locality model states that all programs will exhibit this basic memory reference structure.,textbook_chunk_573,general
Note that the locality model is the unstated principle behind the caching discussions so far in this book.,textbook_chunk_574,general
"If accesses to any types of data were random rather than patterned, caching would be useless.",textbook_chunk_575,general
Suppose we allocate enough frames to a process to accommodate its current locality.,textbook_chunk_576,general
"It will fault for the pages in its locality until all these pages are in memory; then, it will not fault again until it changes localities.",textbook_chunk_577,general
"If we do not allocate enough frames to accommodate the size of the current locality, the process will thrash, since it cannot keep in memory all the pages that it is actively using.",textbook_chunk_578,general
"9.6.2 Working-Set Model As mentioned, the working-set model is based on the assumption of locality.",textbook_chunk_579,general
"This model uses a parameter, Delta1,t od e ﬁ n et h e working-set window .T",textbook_chunk_580,general
h ei d e a is to examine the most recent Delta1page references.,textbook_chunk_581,general
The set of pages in the most recent Delta1page references is the working set (Figure 9.20).,textbook_chunk_582,general
"If a page is in active use, it will be in the working set.",textbook_chunk_583,general
"If it is no longer being used, it will drop from the working set Delta1time units after its last reference.",textbook_chunk_584,general
"Thus, the working set is an approximation of the programs locality.",textbook_chunk_585,general
"For example, given the sequence of memory references shown in Figure 9.20, if Delta11 0m e m o r yr e f e r e n c e s ,t h e nt h ew o r k i n gs e ta tt i m e t1is1, 2, 5, 6, 7.",textbook_chunk_586,general
"By time t2,t h ew o r k",textbook_chunk_587,general
"a sc h a n g e dt o 3, 4.",textbook_chunk_588,general
"The accuracy of the working set depends on the selection of Delta1.I fDelta1is too small, it will not encompass the entire locality; if Delta1is too large, it may overlap several localities.",textbook_chunk_589,general
